H2AZ01354|CRANE, ELI|I|2|REP|8559239.47|4780.99|8308125.11|2354.09|66255.71|317370.07|0|0|0|0|0|202776.06|8412660.34|AZ|02||||||114700|0|12/31/2024|94744.54|0
H4AZ02192|SMITH, JACK|C|2|REP|104009.41|0|103271.28|0|0|738.13|11928.48|2000|0|0|0|15459.11|82755.93|AZ|02||||||0|0|12/31/2024|13200|0
H4AZ03109|ANSARI, YASSAMIN|O|1|DEM|2876682.29|3055.83|2866271.58|0|0|10410.71|95209.11|385000|0|10000|0|375000|1976336.45|AZ|03||||||286511.22|0|12/31/2024|29915|4000
H4AZ03125|AGUILAR, YLENIA|O|1|DEM|63933.07|0|63933.07|0|0|0|0|0|0|0|0|0|63933.07|AZ|03||||||0|0|09/30/2023|0|0
H4AZ03133|PASTOR, LAURA|O|1|DEM|121783.96|0|121167.65|0|0|616.31|0|0|0|0|0|0|121425.16|AZ|03||||||0|0|12/31/2024|13610|0
H4AZ03141|WOOTEN, DUANE M MD|O|1|DEM|57220.69|0|53637.56|0|0|3583.13|9400|5000|0|5000|0|0|42104.88|AZ|03||||||0|0|12/31/2024|0|0
H4AZ07043|GALLEGO, RUBEN|I|1|DEM|64657199.96|2910010.25|65722622.25|0|1276574.99|211152.7|0|0|0|0|0|0|59385707.27|AZ|03||||||1784685.1|75650|12/31/2024|871940.33|6500
H2AZ07187|ZINK, JEFFREY NELSON MR|O|2|REP|60847|0|79390.55|0|19103.29|559.74|0|30000|0|0|0|70000|25347|AZ|03||||||5500|0|12/31/2024|0|0
H4AZ03158|MENDOZA, JESUS DAVID|O|2|REP|10977.82|0|9787|0|0|1190.82|2483.87|0|0|0|0|0|8493.95|AZ|03||||||0|0|12/31/2024|0|0
H8AZ09040|STANTON, GREG|I|1|DEM|2796248.73|5180|1813860.16|0|33341.89|1015730.46|0|0|0|0|0|0|1959812.31|AZ|04||||||806686.17|0|12/31/2024|2757.33|0
H2AZ09183|DAVISON, JERONE|C|2|REP|57902.87|0|60833.56|0|.28|-2930.41|0|0|0|0|0|0|57225.98|AZ|04||||||500|0|12/31/2024|0|0
H2AZ09191|COOPER, KELLY|C|2|REP|788327.2|46198.61|816881.21|4286.96|58744.19|30190.18|797.49|50214.04|0|51407.09|0|603480.47|607197.81|AZ|04||||||81264|0|12/31/2024|6034.98|0
H4AZ04115|JASSER, M. ZUHDI|C|2|REP|596235.82|0|595952.97|0|0|282.85|10000|0|0|0|0|0|581235.82|AZ|04||||||5000|0|08/30/2024|118930.41|0
H6AZ09010|GILES, DAVID VICTOR|C|2|REP|191173.8|0|191173.8|0|0|0|0|95313.19|0|0|0|653544.47|95860.61|AZ|04||||||0|0|10/01/2024|0|0
H4AZ05112|SCHAFFNER, KATRINA|C|1|DEM|69745.77|0|68855.87|7883|0|889.9|0|0|0|0|0|0|65924.25|AZ|05||||||0|3821.52|11/15/2024|0|0
H2AZ09142|STOVALL, ALEX|C|2|REP|840.71|0|1821.63|0|1819.09|838.17|0|0|0|0|0|61269.32|840.71|AZ|05||||||0|0|06/30/2023|3|0
H6AZ05083|BIGGS, ANDY|I|2|REP|1383059.41|13000|1159653.7|0|235471.85|458877.56|0|0|0|0|0|0|1283197.96|AZ|05||||||75985.2|0|12/31/2024|17775|0
H2AZ05173|SMITH, CLINT WILLIAM|C|3|IND|48705|0|48705|0|0|0|0|0|0|0|0|0|46205|AZ|05||||||2500|0|06/30/2024|4000|0
H2AZ02311|ENGEL, KIRSTEN|C|1|DEM|8461618.48|762214.07|8430005.34|0|1305.37|32418.51|0|0|0|0|0|0|6839057.76|AZ|06||||||636015.34|4798.58|12/31/2024|72141.48|2800
H4AZ06128|O'DONNELL, JOHN ROBERT|C|1|DEM|69325.24|0|69325.24|0|0|0|0|0|0|0|0|0|68976.25|AZ|06||||||0|0|07/17/2023|29355|0
H2AZ02360|CISCOMANI, JUAN|I|2|REP|7035782.04|1454114.01|6853656.75|1228.27|54435.6|236560.89|0|0|0|0|0|0|3626926.69|AZ|06||||||1940183.02|10500|12/31/2024|118968.27|35750.46
H4AZ06136|WINN, KATHLEEN|C|2|REP|286409.28|0|286409.28|0|0|0|38395.97|95667|0|0|0|0|141306.68|AZ|06||||||0|0|12/31/2024|25597.85|0
H4AZ06144|CAST, CLIFFORD VANCE DR|C|3|LIB|50109.55|0|37862.28|0|0|12247.27|0|50000|0|0|0|0|109.55|AZ|06||||||0|0|07/23/2024|0|0
H2AZ03152|POZZOLO, LUIS|C|3|W|0|0|0|0|0|0|0|0|0|0|0|0|0|AZ|06||||||0|0|03/31/2023|0|0
H2AZ07070|GRIJALVA, RAUL M|I|1|DEM|643862.68|0|549407.41|0|206205.86|300661.13|0|0|0|0|0|4015.59|474597.04|AZ|07||||||164500|0|12/31/2024|731.84|1000
H4AZ07134|BUTIEREZ, DANIEL|C|2|REP|78606.9|0|78014.76|0|0|592.14|46595.43|0|0|0|0|4978.11|31011.47|AZ|07||||||1000|0|12/31/2024|0|0
H4AZ07142|BECKER, NINA|C|2|REP|300504|0|730.67|0|190|299963.33|0|0|0|0|0|0|300504|AZ|07||||||0|0|06/30/2024|195|0
H4AZ08074|SPREITZER, JEREMY|O|1|DEM|11215.24|0|9200.13|0|121.19|2136.3|285|0|0|0|0|23059.3|10930.24|AZ|08||||||0|0|09/30/2023|0|0
H4AZ08090|WHITTEN, GREGORY|O|1|DEM|576752.74|0|576752.74|0|0|0|5447.46|103000|0|79395.28|0|0|466676.08|AZ|08||||||1500|0|12/31/2024|0|0
H4AZ08108|HAMADEH, ABRAHAM|O|2|REP|1994018.86|105310.93|1957610.26|0|0|36408.6|5030|394000|0|85000|0|339455.93|1337550.08|AZ|08||||||151750|0|12/31/2024|21500|250
H4AZ08124|MASTERS, BLAKE|O|2|REP|4223399.05|129724.53|4216338.52|0|0|7060.53|0|3570000|0|800000|0|3626074.42|514610.02|AZ|08||||||8800|0|12/31/2024|47862.2|0
H4AZ08132|KERN, ANTHONY|O|2|REP|210220.97|0|209824.14|0|0|396.83|0|50000|0|3000|0|47000|148041.26|AZ|08||||||8099|0|12/31/2024|13612|4799
H4AZ08140|TOMA, BEN|O|2|REP|914122.11|0|914122.11|0|0|0|0|0|0|0|0|0|839297.79|AZ|08||||||71000|0|12/31/2024|121224.35|2900
H4AZ08157|FRANKS, TRENT|O|2|REP|644719.34|0|639142|0|0|5577.34|0|600000|0|0|0|600000|44711.79|AZ|08||||||0|0|12/31/2024|0|0
H4AZ08173|BRIODY, PATRICK JAMES|O|2|REP|19194.16|0|18551.48|0|0|642.68|0|18594.16|0|0|0|18594.16|600|AZ|08||||||0|0|07/10/2024|0|0
H8AZ08158|LESKO, DEBBIE|I|2|REP|370273.95|2997.53|893861.04|0|1002734.67|479147.58|0|0|0|0|0|0|186628.15|AZ|08||||||175558|0|12/31/2024|40757.42|10500
H2AZ08201|SPREITZER, JEREMY|O|3|IND|11215.24|0|9200.13|0|121.19|2136.3|285|0|0|0|0|23059.3|10930.24|AZ|08||||||0|0|09/30/2023|0|0
H4AZ09031|BLAIR, NICHOLAS EDWARD|C|1|DEM|5100|0|5100|0|0|0|5100|0|0|0|0|0|0|AZ|09||||||0|0|06/30/2023|1100|0
H4AZ09049|SMITH, QUACY L|C|1|DEM|236354.19|0|213624.22|200|0|32268.36|5267.5|77910|0|13500|0|64410|145521.92|AZ|09||||||5000|0|12/31/2024|0|0
H0AZ01259|GOSAR, PAUL DR.|I|2|REP|478477.68|535.87|497470.48|6000|107638.78|91596.98|0|0|0|0|0|0|432326.32|AZ|09||||||34900|0|12/31/2024|18472|535.87
H4AZ20012|BUSBY, BRADY|C|3|IND|2877|0|2596.58|0|0|280.42|2107|0|0|0|0|0|770|AZ|20||||||0|0|12/31/2024|0|0
H4CA01140|YEE, ROSE PENELOPE|C|1|DEM|86105.64|0|79623.42|0|0|7427.61|0|20000|0|0|0|20000|60194.56|CA|01||||||2688.18|475|12/31/2024|0|0
H2CA02142|LAMALFA, DOUG|I|2|REP|1012001.47|2380.8|694249.77|0|366690.24|684441.94|0|0|0|0|0|0|627954.84|CA|01||||||377900|3050|12/31/2024|11672.58|0
H2CA06259|HUFFMAN, JARED|I|1|DEM|1014658|0|958825.63|0|928810.57|984642.94|0|0|0|0|0|742.67|532702.44|CA|02||||||415645.64|0|12/31/2024|16748.52|1000
H2CA02241|COULOMBE, CHRIS MR|C|2|REP|123590.25|1040|123059.31|250|386.07|917.01|0|11850|0|2800|0|31350.18|104968.33|CA|02||||||0|1758.5|12/31/2024|0|0
H4CA02130|GIBBS JENSEN, TIEF|C|2|REP|28280.1|0|27905.62|0|0|374.48|416.98|0|0|0|0|325|27663.12|CA|02||||||0|0|12/31/2024|0|0
H8CA04210|MORSE, JESSICA|C|1|DEM|3082382.7|37821.17|3262405.92|0|204362.96|24339.74|0|0|0|0|0|2146.88|2815071.91|CA|03||||||208307.5|9104.95|12/31/2024|27816.44|0
H2CA03157|KILEY, KEVIN|I|2|REP|4266158.4|576095.16|3924153.82|185.98|38973.49|380978.07|0|0|0|0|0|0|3014958.68|CA|03||||||650722.34|0|12/31/2024|51224.56|3174.56
H2CA04155|ENGDAHL, ANDREW DAVID|C|1|DEM|1587.46|0|4028.28|0|3107.01|666.19|0|0|0|0|0|0|1587.46|CA|04||||||0|0|04/13/2024|0|0
H8CA01109|THOMPSON, MIKE MR.|I|1|DEM|2434299.38|0|2852644.87|0|1627833.89|1209488.4|0|0|0|0|0|36045.67|894741.21|CA|04||||||1493286|880.94|12/31/2024|6828|1750
H2CA04148|BROCK, MATTHEW|C|2|REP|1510|0|1532.85|0|22.85|0|0|1460|0|0|0|7260|50|CA|04||||||0|0|09/19/2023|0|0
H4CA04128|MUNN, JOHN|C|2|REP|159805.48|0|159805.48|0|0|0|0|127500|0|3135.67|0|0|30889.98|CA|04||||||300|0|12/31/2024|0|0
H4CA04136|PATWARDHAN, NIKET|C|3|NOP|9019.12|0|9019.12|0|0|0|279.12|8740|0|1324.2|0|0|0|CA|04||||||0|0|03/19/2024|0|0
H2CA00096|BARKLEY, MICHAEL JAMES MR.|C|1|DEM|86712.32|0|82051.67|0|78.23|4738.88|0|63562.81|0|0|0|537275.86|13690.57|CA|05||||||250|5700|12/31/2024|0|0
H8CA04152|MCCLINTOCK, THOMAS|I|2|REP|1171016.98|4116.5|1160351.97|0|137539.98|148204.99|0|0|0|0|0|0|937576.95|CA|05||||||221140.18|523.19|12/31/2024|21970|0
H0CA03078|BERA, AMERISH|I|1|DEM|1250010.96|0|1111772.18|0|1735132.93|1873371.71|0|0|0|115000|0|57800|458165.56|CA|06||||||783204.83|250|12/31/2024|13405|7500
H4CA06180|BARAJAS, ADAN JOSEPH|C|1|DEM|450|0|0|0|0|450|300|0|0|0|0|0|150|CA|06||||||0|0|03/31/2024|0|0
H0CA03128|HAMILTON, TAMIKA|C|2|REP|1534.22|0|15255.59|0|13671.37|-50|0|0|0|0|0|0|82.32|CA|06||||||0|0|03/07/2023|25|0
H0CA06170|BISH, CHRISTINE|C|2|REP|182260.28|0|182368.4|0|28.26|50.14|500|7170|0|10402.05|0|35069.5|172729.28|CA|06||||||0|0|12/31/2024|2100|0
H2CA07133|DANIELS, BRET|C|2|REP|4699|0|3314.13|0|1000|2384.87|1093.12|0|0|0|0|5103.78|3605.88|CA|06||||||0|0|09/30/2023|1100|0
H4CA06149|DELUZ, CRAIG|C|2|REP|32126.04|0|32078.95|0|0|47.09|0|5000|0|0|0|13177.53|27068.59|CA|06||||||50|0|12/31/2024|45|0
H4CA06156|RIEHLE, RAYMOND A|C|2|REP|48647|0|48107.17|0|0|539.83|100|22400|0|0|0|23150|26147|CA|06||||||0|0|12/31/2024|250|0
H4CA06164|MARTIN, MARSHALL|C|2|REP|3615|0|3615|0|0|0|85|0|0|0|0|0|3530|CA|06||||||0|0|12/08/2023|0|0
H4CA07097|MANDEL, DAVID|C|1|DEM|147050.77|0|151530.93|0|0|-35304.66|55229.27|0|0|0|0|20000|89821.5|CA|07||||||2000|0|12/31/2024|0|0
H6CA05195|MATSUI, DORIS|I|1|DEM|1239231.82|0|1113903.11|0|181340.09|306668.8|0|0|0|0|0|0|366890.42|CA|07||||||872251.38|0|12/31/2024|6192.5|5000
H2CA07141|SEMENENKO, MAX|C|2|REP|960|0|11293.22|0|10333.22|0|0|0|0|0|0|0|960|CA|07||||||0|0|03/01/2024|0|0
H4CA07089|SILVA, THOMAS|C|2|REP|5551.5|0|5551.5|0|0|0|0|4000|0|0|0|0|1551.5|CA|07||||||0|0|12/20/2024|0|0
H0CA10149|GARAMENDI, JOHN|I|1|DEM|1113065.76|0|969795.57|0|1121447.54|1264717.73|0|0|0|0|0|0|551472.99|CA|08||||||561350|0|12/31/2024|19402.23|0
H2CA00153|RECILE, RUDY|C|2|REP|21437.01|0|20893.56|0|494.29|1037.74|0|4214|0|1000|0|31716.66|17223.01|CA|08||||||0|0|12/31/2024|70|0
H8CA10126|HARDER, JOSH|I|1|DEM|5415539.47|74000|4876309.57|149650|1149601.82|1688831.72|0|0|0|0|0|0|4507023.42|CA|09||||||590024|6819.18|12/31/2024|29315.76|8000
H4CA09085|DOOD, BRETT R|C|2|REP|121330.42|0|121330.42|0|0|0|0|0|0|0|0|0|121330.42|CA|09||||||0|0|08/30/2023|85084.4|0
H4CA09093|LINCOLN, KEVIN J II|C|2|REP|2278918.26|446328.24|2254794.13|0|0|24124.13|0|0|0|0|0|15325.25|1335500.51|CA|09||||||465595.4|5000|12/31/2024|37182.95|300
H4CA09101|MCBRIDE, JOHN|C|2|REP|12665.01|0|12635.01|0|0|30|0|0|0|0|0|4382.59|11665.01|CA|09||||||0|0|12/31/2024|0|0
H2CA10236|FENG, KARENA APPLE MS.|C|3|IND|0|0|0|0|0|0|0|0|0|0|0|0|0|CA|09||||||0|0|03/31/2024|0|0
H0CA10073|DESAULNIER, MARK|I|1|DEM|664974.75|0|611351.83|0|575364.4|628987.32|0|0|0|0|0|0|285976.17|CA|10||||||377249|0|12/31/2024|2776.52|1500
H4CA10083|JALIS, MUSA|C|2|REP|859.19|0|859.19|0|0|0|859.19|0|0|0|0|0|0|CA|10||||||0|0|12/31/2023|0|0
H4CA10091|CHEN, NOLAN|C|2|REP|5895|0|5895|0|0|0|0|4640|0|879.85|0|0|1255|CA|10||||||0|0|03/31/2024|0|0
H4CA10109|PICCININI, KATHERINE|C|2|REP|40733.96|0|38651.73|0|0|2082.23|0|2312|0|0|0|5520.44|38179.38|CA|10||||||0|0|12/31/2024|0|0
H4CA10117|SWEENEY, JOSEPH J|C|3|IND|15515|0|14364.2|0|0|1150.8|0|0|0|0|0|21016.74|15515|CA|10||||||0|0|12/31/2024|25|0
H4CA11198|MIKELS, MARJORIE MS|C|1|DEM|10000|0|10000|0|0|0|0|10000|0|6452.24|0|10096.76|0|CA|11||||||0|0|06/28/2024|0|0
H8CA05035|PELOSI, NANCY|I|1|DEM|10223363.88|403887.59|11739026.18|0|3593728.76|2078066.46|0|0|0|0|0|0|9554439.66|CA|11||||||251518.53|130.94|12/31/2024|218817.34|0
H8CA12262|BUTTAR, SHAHID|C|1|DEM|778.68|0|608.98|0|237.78|377.44|0|0|0|0|0|24056.2|0|CA|11||||||0|0|12/31/2024|0|0
H4CA11164|LOU, BRUCE C|C|2|REP|208130.5|0|208130.5|0|0|0|4151.26|87170|12845|0|0|0|99069.66|CA|11||||||3300|0|12/31/2024|500|0
H4CA11172|ZENG, JASON|C|2|REP|39286.71|0|39286.71|0|0|0|0|38526.71|0|32085.55|0|0|760|CA|11||||||0|0|03/06/2024|0|0
H4CA12154|SIMON, LATEEFAH|O|1|DEM|2231456.15|0|1945801.44|0|0|285654.71|0|0|0|0|0|0|1913404.94|CA|12||||||270574.01|0|12/31/2024|22415.51|500
H4CA12170|DAYSOG, TONY MR.|O|1|DEM|18760.46|0|18298.89|0|0|461.58|16103|0|0|0|0|0|2657.46|CA|12||||||0|0|12/31/2023|0|0
H4CA12188|SANCHEZ, TIM|O|1|DEM|102802.71|0|102742.72|0|0|59.99|2280|0|0|0|0|0|87968.5|CA|12||||||11000|0|12/31/2023|25|0
H4CA12196|TRAN, JENNIFER|O|1|DEM|344452.27|0|333359.4|0|0|11092.87|8625|41436.15|0|0|0|43186.15|274389.14|CA|12||||||2000|0|12/31/2024|475|0
H4CA12246|SIKDER, ABDUR R DR|O|1|DEM|21938|0|21946.2|0|0|-8.2|0|0|0|0|0|0|21938|CA|12||||||0|0|04/16/2024|0|0
H8CA09060|LEE, BARBARA|I|1|DEM|375045.69|0|427254.55|175400|52353.25|144.39|0|0|0|0|0|0|363166.36|CA|12||||||11800|0|09/30/2024|9400|0
